time_stamp,open,close,adjust,usage,comment
Nov-06,167.5560,172.8750,0.0000,5.3190,
Dec-06,172.8750,180.6366,0.0000,7.7616,
Jan-07,180.6366,186.9269,0.0000,6.2903,
Feb-07,186.9269,193.8778,0.0000,6.9509,Added insulation on cellar pipes
Mar-07,193.8778,200.5562,0.0000,6.6784,
Apr-07,200.5562,209.7799,0.0000,9.2237,
May-07,209.7799,219.9879,0.0000,10.2080,
Jun-07,219.9879,230.7711,0.0000,10.7832,Two weeks in Spain.
Jul-07,230.7711,235.7385,0.0000,4.9674,
Aug-07,235.7385,246.5676,0.0000,10.8291,
Sep-07,246.5676,254.0387,0.0000,7.4711,
Oct-07,254.0387,261.0000,0.0000,6.9613,
Nov-07,261.0000,267.1528,0.0000,6.1528,
Dec-07,267.1528,273.5407,0.0000,6.3879,
Jan-08,273.5407,279.9468,0.0000,6.4061,Reset the timer on the header
Feb-08,279.9468,287.8110,0.0000,7.8642,18.03 New house door installed
Mar-08,287.8110,293.1122,0.0000,5.3012,
Apr-08,293.1122,301.4424,0.0000,8.3302,
May-08,301.4424,310.3434,0.0000,8.9010,Heater was turned off.
Jun-08,310.3434,317.3413,0.0000,6.9979,Hot water and pump timer was changed to 5.30-10.30am  only.
Jul-08,317.3413,325.0203,0.0000,7.6790,
Aug-08,325.0203,334.8779,0.0000,9.8576,
Sep-08,334.8779,341.9040,0.0000,7.0261,Added Honeywell thermostats to Lounge and bathroom.
Oct-08,341.9040,348.2458,0.0000,6.3418,Australia for 13 days
Nov-08,348.2458,352.2211,0.0000,3.9753,Australia for 6 days | Visitors
Dec-08,352.2211,359.8323,0.0000,7.6112,Visitors over christmas - Party mode was used
Jan-09,359.8323,364.0000,0.0000,4.1677,Steve one week in USA
Feb-09,364.0000,370.1788,0.0000,6.1788,Steve one week in USA; Visitor two weeks.
Mar-09,370.1788,376.1797,0.0000,6.0009,One week skiing
Apr-09,376.1797,383.0397,0.0000,6.8600,Heating off since 1st. Party Mode used twice plus two evenings with heater
May-09,383.0397,388.5394,0.0000,5.4997,Away first week and again one weekend. Jane and Eileen visit.
Jun-09,388.5394,395.7285,0.0000,7.1891,
Jul-09,395.7285,401.6324,0.0000,5.9039,
Aug-09,401.6324,409.9759,0.0000,8.3435,Set spare monitor on a switch.
Sep-09,409.9759,417.4611,0.0000,7.4852,
Oct-09,417.4611,421.9808,0.0000,4.5197,
Nov-09,421.9808,428.0625,0.0000,6.0817,
Dec-09,428.0625,435.0112,0.0000,6.9487,House Guest
Jan-10,435.0112,441.7300,0.0000,6.7188,
Feb-10,441.7300,448.5435,0.0000,6.8135,
Mar-10,448.5435,456.4252,0.0000,7.8817,One day late in reading
Apr-10,456.4252,467.0200,0.0000,10.5948,House Guest
May-10,467.0200,474.4100,0.0000,7.3900,Heater was turned off.
Jun-10,474.4100,479.5869,0.0000,5.1769,Filled heater pressure to 0.9 Bar
Jul-10,479.5869,0.8511,486.0000,7.2641,ESTW changed water meter. Old=486 New=0.1075. Reading 0.85105
Aug-10,0.8511,7.5898,0.0000,6.7388,
Sep-10,7.5898,15.9811,0.0000,8.3913,Heating turned on
Oct-10,15.9811,20.6762,0.0000,4.6951,Electric heater purchased. 8d2h-9.287kWh-9.287OnTime
Nov-10,20.6762,26.3357,0.0000,5.6595,Office Heater 18.15kWh@18:08/28d19h.
Dec-10,26.3357,28.1947,0.0000,1.8590,Holiday in Australia from 07.12.10 to 05.01.11
Jan-11,28.1947,33.8072,0.0000,5.6125,Office Heater 12.8kWh@11:04/7d18h
Feb-11,33.8072,40.2002,0.0000,6.3930,Office Heater 38.88kWh@1d7h/27d23h
Mar-11,40.2002,47.1080,0.0000,6.9078,Office Heater 4.711Wh@3:37h/30d22h
Apr-11,47.1080,53.9720,0.0000,6.8640,away first week and again one weekend. Jane and Eileen visit.
May-11,53.9720,61.9017,0.0000,7.9297,
Jun-11,61.9017,70.0000,0.0000,8.0983,
Jul-11,70.0000,75.7700,0.0000,5.7700,Running the de-humidifier for most of the month. - Water in Cellar
Aug-11,75.7700,88.3406,0.0000,12.5706,John and family visited. Making Jam
Sep-11,88.3406,91.1362,0.0000,2.7956,Two weeks in Burgundy
Oct-11,91.1362,95.6886,0.0000,4.5524,Heating turned on; Circulation pump added to Hot Water.
Nov-11,95.6886,104.6852,0.0000,8.9966,Lighting system 1.066 - 29:22d:h
Dec-11,104.6852,114.5350,0.0000,9.8498,Visitors over christmas - Party mode was used
Jan-12,114.5350,120.6510,0.0000,6.1160,
