time_stamp,open,close,adjust,comment
2006-11-01,6252.1000,6543.3000,0.0000,
2006-12-01,6543.3000,6895.5000,0.0000,
2007-01-01,6895.5000,7231.7000,0.0000,
2007-02-01,7231.7000,7517.1000,0.0000,Added insulation on cellar pipes
2007-03-01,7517.1000,7846.6000,0.0000,
2007-04-01,7846.6000,8119.8500,0.0000,
2007-05-01,8119.8500,8339.4000,0.0000,
2007-06-01,8339.4000,8523.3482,0.0000,Two weeks in Spain.
2007-07-01,8523.3482,8653.7000,0.0000,
2007-08-01,8653.7000,8903.9500,0.0000,
2007-09-01,8903.9500,9174.7400,0.0000,
2007-10-01,9174.7400,9465.4000,0.0000,
2007-11-01,9465.4000,9767.2500,0.0000,
2007-12-01,9767.2500,10104.3000,0.0000,
2008-01-01,10104.3000,10448.0500,0.0000,Reset the timer on the header
2008-02-01,10448.0500,10793.2500,0.0000,18.03 New house door installed
2008-03-01,10793.2500,11095.7000,0.0000,
2008-04-01,11095.7000,11435.6000,0.0000,
2008-05-01,11435.6000,11668.1000,0.0000,Heater was turned off.
2008-06-01,11668.1000,11831.5000,0.0000,Hot water and pump timer was changed to 5.30-10.30am  only.
2008-07-01,11831.5000,12081.1000,0.0000,
2008-08-01,12081.1000,12336.5000,0.0000,
2008-09-01,12336.5000,12607.0500,0.0000,Added Honeywell thermostats to Lounge and bathroom.
2008-10-01,12607.0500,12822.3526,0.0000,Australia for 13 days
2008-11-01,12822.3526,13087.5000,0.0000,Australia for 6 days | Visitors
2008-12-01,13087.5000,13486.1500,0.0000,Visitors over christmas - Party mode was used
2009-01-01,13486.1500,13789.2000,0.0000,Steve one week in USA
2009-02-01,13789.2000,14064.3000,0.0000,Steve one week in USA; Visitor two weeks.
2009-03-01,14064.3000,14359.5000,0.0000,One week skiing
2009-04-01,14359.5000,14613.1000,0.0000,Heating off since 1st. Party Mode used twice plus two evenings with heater
2009-05-01,14613.1000,14820.5500,0.0000,Away first week and again one weekend. Jane and Eileen visit.
2009-06-01,14820.5500,15059.4000,0.0000,
2009-07-01,15059.4000,15259.5000,0.0000,
2009-08-01,15259.5000,15475.4500,0.0000,Set spare monitor on a switch.
2009-09-01,15475.4500,15733.7500,0.0000,
2009-10-01,15733.7500,15988.5000,0.0000,
2009-11-01,15988.5000,16298.4000,0.0000,
2009-12-01,16298.4000,16671.9000,0.0000,House Guest
2010-01-01,16671.9000,17039.7000,0.0000,
2010-02-01,17039.7000,17392.9000,0.0000,
2010-03-01,17392.9000,17728.5000,0.0000,One day late in reading
2010-04-01,17728.5000,18048.1000,0.0000,House Guest
2010-05-01,18048.1000,18294.2000,0.0000,Heater was turned off.
2010-06-01,18294.2000,18452.2000,0.0000,Filled heater pressure to 0.9 Bar
2010-07-01,18452.2000,18637.0000,0.0000,ESTW changed water meter. Old=486 New=0.1075. Reading 0.85105
2010-08-01,18637.0000,18880.7000,0.0000,
2010-09-01,18880.7000,19153.8000,0.0000,Heating turned on
2010-10-01,19153.8000,19457.2000,0.0000,Electric heater purchased. 8d2h-9.287kWh-9.287OnTime
2010-11-01,19457.2000,19776.4000,0.0000,Office Heater 18.15kWh@18:08/28d19h.
2010-12-01,19776.4000,19913.2000,0.0000,Holiday in Australia from 07.12.10 to 05.01.11
2011-01-01,19913.2000,20229.0000,0.0000,Office Heater 12.8kWh@11:04/7d18h
2011-02-01,20229.0000,20586.9000,0.0000,Office Heater 38.88kWh@1d7h/27d23h
2011-03-01,20586.9000,20890.1000,0.0000,Office Heater 4.711Wh@3:37h/30d22h
2011-04-01,20890.1000,21135.8000,0.0000,away first week and again one weekend. Jane and Eileen visit.
2011-05-01,21135.8000,21385.8000,0.0000,
2011-06-01,21385.8000,21626.0000,0.0000,
2011-07-01,21626.0000,21899.1000,0.0000,Running the de-humidifier for most of the month. - Water in Cellar
2011-08-01,21899.1000,22176.7000,0.0000,John and family visited. Making Jam
2011-09-01,22176.7000,22344.9000,0.0000,Two weeks in Burgundy
2011-10-01,22344.9000,22637.2000,0.0000,Heating turned on; Circulation pump added to Hot Water.
