time_stamp,open,close,adjust,comment
2006-11-01,1783.8120,1913.1500,0.0000,""
2006-12-01,1913.1500,2116.9500,0.0000,""
2007-01-01,2116.9500,2295.9010,0.0000,""
2007-02-01,2295.9010,2476.8200,0.0000,"Added insulation on cellar pipes"
2007-03-01,2476.8200,2639.2330,0.0000,""
2007-04-01,2639.2330,2713.0100,0.0000,""
2007-05-01,2713.0100,2761.8580,0.0000,""
2007-06-01,2761.8580,2794.5840,0.0000,"Two weeks in Spain."
2007-07-01,2794.5840,2814.0030,0.0000,""
2007-08-01,2814.0030,2860.2860,0.0000,""
2007-09-01,2860.2860,2925.4350,0.0000,""
2007-10-01,2925.4350,3042.7080,0.0000,""
2007-11-01,3042.7080,3252.4870,0.0000,""
2007-12-01,3252.4870,3461.4000,0.0000,""
2008-01-01,3461.4000,3714.0000,0.0000,"Reset the timer on the header"
2008-02-01,3714.0000,3901.4370,0.0000,"18.03 New house door installed"
2008-03-01,3901.4370,4084.9660,0.0000,""
2008-04-01,4084.9660,4206.1700,0.0000,""
2008-05-01,4206.1700,4254.2100,0.0000,"Heater was turned off."
2008-06-01,4254.2100,4277.7960,0.0000,"Hot water and pump timer was changed to 5.30-10.30am  only."
2008-07-01,4277.7960,4313.3470,0.0000,""
2008-08-01,4313.3470,4349.1320,0.0000,""
2008-09-01,4349.1320,4414.9800,0.0000,"Added Honeywell thermostats to Lounge and bathroom."
2008-10-01,4414.9800,4472.4851,0.0000,"Australia for 13 days"
2008-11-01,4472.4851,4625.4760,0.0000,"Australia for 6 days | Visitors"
2008-12-01,4625.4760,4867.1025,0.0000,"Visitors over christmas - Party mode was used"
2009-01-01,4867.1025,5150.6470,0.0000,"Steve one week in USA"
2009-02-01,5150.6470,5402.5420,0.0000,"Steve one week in USA; Visitor two weeks."
2009-03-01,5402.5420,5603.3230,0.0000,"One week skiing"
2009-04-01,5603.3230,5649.5235,0.0000,"Heating off since 1st. Party Mode used twice plus two evenings with heater"
2009-05-01,5649.5235,5676.9525,0.0000,"Away first week and again one weekend. Jane and Eileen visit."
2009-06-01,5676.9525,5711.2300,0.0000,""
2009-07-01,5711.2300,5742.4440,0.0000,""
2009-08-01,5742.4440,5771.4820,0.0000,"Set spare monitor on a switch."
2009-09-01,5771.4820,5805.4920,0.0000,""
2009-10-01,5805.4920,5881.8710,0.0000,""
2009-11-01,5881.8710,6028.1450,0.0000,""
2009-12-01,6028.1450,6302.8700,0.0000,"House Guest"
2010-01-01,6302.8700,6626.6100,0.0000,""
2010-02-01,6626.6100,6898.4400,0.0000,""
2010-03-01,6898.4400,7106.3470,0.0000,"One day late in reading"
2010-04-01,7106.3470,7203.7690,0.0000,"House Guest"
2010-05-01,7203.7690,7272.2400,0.0000,"Heater was turned off."
2010-06-01,7272.2400,7304.3120,0.0000,"Filled heater pressure to 0.9 Bar"
2010-07-01,7304.3120,7325.3890,0.0000,"ESTW changed water meter. Old=486 New=0.1075. Reading 0.85105"
2010-08-01,7325.3890,7358.7910,0.0000,""
2010-09-01,7358.7910,7403.8560,0.0000,"Heating turned on"
2010-10-01,7403.8560,7517.3400,0.0000,"Electric heater purchased. 8d2h-9.287kWh-9.287OnTime"
2010-11-01,7517.3400,7679.5400,0.0000,"Office Heater 18.15kWh@18:08/28d19h."
2010-12-01,7679.5400,7812.0170,0.0000,"Holiday in Australia from 07.12.10 to 05.01.11"
2011-01-01,7812.0170,8059.0400,0.0000,"Office Heater 12.8kWh@11:04/7d18h"
2011-02-01,8059.0400,8294.2100,0.0000,"Office Heater 38.88kWh@1d7h/27d23h"
2011-03-01,8294.2100,8478.8300,0.0000,"Office Heater 4.711Wh@3:37h/30d22h"
2011-04-01,8478.8300,8557.2500,0.0000,away first week and again one weekend. Jane and Eileen visit."
2011-05-01,8557.2500,8607.2010,0.0000,""
2011-06-01,8607.2010,8638.9520,0.0000,""
2011-07-01,8638.9520,8670.8300,0.0000,"Running the de-humidifier for most of the month. - Water in Cellar"
2011-08-01,8670.8300,8708.9740,0.0000,"John and family visited. Making Jam"
2011-09-01,8708.9740,8724.7100,0.0000,"Two weeks in Burgundy"
2011-10-01,8724.7100,8841.4680,0.0000,"Heating turned on; Circulation pump added to Hot Water."
2011-11-01,8841.4680,9032.9400,0.0000,"Lighting system 1.066 - 29:22d:h"
2011-12-01,9032.9400,9282.3340,0.0000,"Visitors over christmas - Party mode was used"
2012-01-01,9282.3340,9523.5510,0.0000,""
2012-02-01,9523.5510,9834.0900,0.0000,"Lighting system 1.060 -28:22d:h"
2012-03-01,9834.0900,9993.2680,0.0000,"New regulator for the heater"
2012-04-01,9993.2680,10096.7290,0.0000,""
2012-05-01,10096.7290,10102.9220,0.0000,"Return from 4 weeks in Aus"
2012-06-01,10102.9220,10133.8730,0.0000,""
2012-07-01,10133.8730,10169.4670,0.0000,""
2012-08-01,10169.4670,10203.9000,0.0000,"Jo&Francesco Visited."
2012-09-01,10203.9000,10228.1470,0.0000,"Heating activated 01.10"
2012-10-01,10228.1470,10339.7300,0.0000,"Taken 31.10.12@18:30 before going to Lisbon for 3 days."
2012-11-01,10339.7300,10492.0340,0.0000,""
2012-12-01,10492.0340,10700.4400,0.0000,""
2013-01-01,10700.4400,10923.2240,0.0000,""
2013-02-01,10923.2240,11128.6100,0.0000,""
2013-03-01,11128.6100,11300.2840,0.0000,""
2013-04-01,11300.2840,12.1480,11349.9880,"Lighting system 0.539kWh R33d09h A09d17h GAS counter was changed. Vacation in Spain, two weeks"
